Accession	Protein	Gene	Gene_protein	X153173_BSA_d3_H	X153173_IL13_d3_H	X153741_BSA_d3_H	X153741_IL13_d3_H	X154142_BSA_d3_A	X154142_IL13_d3_A	X154417_BSA_d3_A	X154417_IL13_d3_A	X154651_BSA_d3_A	X154651_IL13_d3_A	X155404_BSA_d3_H	X155404_IL13_d3_H
ATPO_HUMAN	"ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1"	ATP5O	ATP5O_ATPO	0	2	1	2	1	0	0	2	1	3	1	2
RENR_HUMAN	Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2	ATP6AP2	ATP6AP2_RENR	0	0	0	0	0	0	0	1	0	0	0	0
VA0D1_HUMAN	V-type proton ATPase subunit d 1 OS=Homo sapiens GN=ATP6V0D1 PE=1 SV=1	ATP6V0D1	ATP6V0D1_VA0D1	0	1	1	2	0	0	0	0	1	0	0	2
VATA_HUMAN	V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2	ATP6V1A	ATP6V1A_VATA	0	2	0	0	0	0	0	3	1	1	0	0
VATB1_HUMAN	"V-type proton ATPase subunit B, kidney isoform OS=Homo sapiens GN=ATP6V1B1 PE=1 SV=3"	ATP6V1B1	ATP6V1B1_VATB1	0	0	0	0	0	0	0	0	1	0	0	1
VATB2_HUMAN	"V-type proton ATPase subunit B, brain isoform OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=3"	ATP6V1B2	ATP6V1B2_VATB2	1	0	1	2	0	1	1	1	0	2	0	0
VATE1_HUMAN	V-type proton ATPase subunit E 1 OS=Homo sapiens GN=ATP6V1E1 PE=1 SV=1	ATP6V1E1	ATP6V1E1_VATE1	0	0	1	0	0	1	0	1	0	0	0	1
VATF_HUMAN	V-type proton ATPase subunit F OS=Homo sapiens GN=ATP6V1F PE=1 SV=2	ATP6V1F	ATP6V1F_VATF	0	1	0	0	0	0	0	0	0	0	0	0
VATG1_HUMAN	V-type proton ATPase subunit G 1 OS=Homo sapiens GN=ATP6V1G1 PE=1 SV=3	ATP6V1G1	ATP6V1G1_VATG1	0	1	1	1	0	1	0	1	1	1	1	1
VATH_HUMAN	V-type proton ATPase subunit H OS=Homo sapiens GN=ATP6V1H PE=1 SV=1	ATP6V1H	ATP6V1H_VATH	0	0	0	0	0	1	0	0	0	1	0	0
ATIF1_HUMAN	"ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1"	ATPIF1	ATPIF1_ATIF1	0	0	0	0	0	0	0	0	0	0	1	0
B2MG_HUMAN	Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1	B2M	B2M_B2MG	0	2	0	0	0	1	0	1	1	1	0	0
B3GN6_HUMAN	"Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase OS=Homo sapiens GN=B3GNT6 PE=1 SV=2"	B3GNT6	B3GNT6_B3GN6	0	1	0	0	0	0	0	1	0	0	0	0
BAIP2_HUMAN	Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens GN=BAIAP2 PE=1 SV=1	BAIAP2	BAIAP2_BAIP2	2	3	1	1	2	1	2	3	2	2	2	0
BAF_HUMAN	Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1	BANF1	BANF1_BAF	0	0	0	0	1	0	1	0	0	0	0	0
BASP1_HUMAN	Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2	BASP1	BASP1_BASP1	10	6	8	5	8	5	9	7	10	6	6	5
BAP31_HUMAN	B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3	BCAP31	BCAP31_BAP31	0	0	0	1	0	0	0	1	0	1	0	0
BCAS1_HUMAN	Breast carcinoma-amplified sequence 1 OS=Homo sapiens GN=BCAS1 PE=1 SV=2	BCAS1	BCAS1_BCAS1	0	0	0	0	0	0	0	0	0	2	0	2
BCAT2_HUMAN	"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens GN=BCAT2 PE=1 SV=2"	BCAT2	BCAT2_BCAT2	0	0	0	0	0	0	0	0	0	1	0	0
ODBA_HUMAN	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Homo sapiens GN=BCKDHA PE=1 SV=2"	BCKDHA	BCKDHA_ODBA	0	0	0	0	0	0	0	0	0	0	1	0
BCL9L_HUMAN	B-cell CLL/lymphoma 9-like protein OS=Homo sapiens GN=BCL9L PE=1 SV=1	BCL9L	BCL9L_BCL9L	0	0	0	0	0	0	0	0	1	0	0	0
BDH2_HUMAN	3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens GN=BDH2 PE=1 SV=2	BDH2	BDH2_BDH2	0	1	0	0	0	0	0	0	0	1	0	0
BID_HUMAN	BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1	BID	BID_BID	0	1	0	0	0	1	0	0	0	0	0	0
BLVRB_HUMAN	Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3	BLVRB	BLVRB_BLVRB	2	3	2	3	2	4	1	3	1	5	2	5
BOLA2_HUMAN	BolA-like protein 2 OS=Homo sapiens GN=BOLA2 PE=1 SV=1	BOLA2	BOLA2_BOLA2	0	0	1	0	0	0	1	1	0	0	0	0
BPIA1_HUMAN	BPI fold-containing family A member 1 OS=Homo sapiens GN=BPIFA1 PE=1 SV=1	BPIFA1	BPIFA1_BPIA1	0	0	0	0	2	0	0	0	2	0	1	0
BPIB1_HUMAN	BPI fold-containing family B member 1 OS=Homo sapiens GN=BPIFB1 PE=1 SV=1	BPIFB1	BPIFB1_BPIB1	9	19	16	15	25	22	10	21	19	21	18	26
BPNT1_HUMAN	"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=1 SV=1"	BPNT1	BPNT1_BPNT1	0	0	1	0	0	0	0	0	1	0	0	0
FANCJ_HUMAN	Fanconi anemia group J protein OS=Homo sapiens GN=BRIP1 PE=1 SV=1	BRIP1	BRIP1_FANCJ	0	0	0	0	1	0	0	0	0	0	0	0
BROX_HUMAN	BRO1 domain-containing protein BROX OS=Homo sapiens GN=BROX PE=1 SV=1	BROX	BROX_BROX	0	0	0	0	0	0	1	0	0	0	0	0
BASI_HUMAN	Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	BSG	BSG_BASI	0	1	1	1	0	2	2	0	0	1	0	1
BSN_HUMAN	Protein bassoon OS=Homo sapiens GN=BSN PE=1 SV=4	BSN	BSN_BSN	0	0	0	1	0	0	0	0	0	0	0	0
BZW1_HUMAN	Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1 PE=1 SV=1	BZW1	BZW1_BZW1	0	0	0	0	0	0	1	0	0	0	0	0
CJ071_HUMAN	Uncharacterized protein C10orf71 OS=Homo sapiens GN=C10orf71 PE=1 SV=2	C10orf71	C10orf71_CJ071	1	0	0	0	0	0	0	0	0	0	0	0
CN166_HUMAN	UPF0568 protein C14orf166 OS=Homo sapiens GN=C14orf166 PE=1 SV=1	C14orf166	C14orf166_CN166	0	0	1	0	1	0	0	0	0	0	0	0
C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1"	C1QBP	C1QBP_C1QBP	3	6	5	4	5	4	4	3	3	6	4	4
ES1_HUMAN	"ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33 PE=1 SV=3"	C21orf33	C21orf33_ES1	0	1	2	2	0	0	0	0	0	1	1	1
CO3_HUMAN	Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	C3	C3_CO3	26	17	37	13	32	4	35	24	46	12	30	13
CAH2_HUMAN	Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2	CA2	CA2_CAH2	0	0	0	0	0	0	0	2	0	0	0	0
CALM1_HUMAN	Calmodulin-1 OS=Homo sapiens GN=CALM1 PE=1 SV=1	CALM1	CALM1_CALM1	6	6	4	4	3	4	5	6	3	6	3	4
CALR_HUMAN	Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1	CALR	CALR_CALR	1	10	9	7	8	9	7	8	5	11	8	11
CALU_HUMAN	Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2	CALU	CALU_CALU	1	4	2	6	2	4	3	3	2	6	2	7
KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=1 SV=3	CAMK2D	CAMK2D_KCC2D	0	0	0	0	0	0	0	0	0	0	0	1
CAND1_HUMAN	Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2	CAND1	CAND1_CAND1	0	0	0	0	0	0	0	0	0	2	0	1
CANT1_HUMAN	Soluble calcium-activated nucleotidase 1 OS=Homo sapiens GN=CANT1 PE=1 SV=1	CANT1	CANT1_CANT1	0	1	0	0	0	0	0	1	0	0	0	0
CALX_HUMAN	Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2	CANX	CANX_CALX	3	6	5	5	5	6	2	9	3	8	4	8
CAP1_HUMAN	Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5	CAP1	CAP1_CAP1	0	4	1	2	0	2	0	5	1	4	0	2
CAPG_HUMAN	Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2	CAPG	CAPG_CAPG	2	2	0	0	0	0	0	1	0	1	0	0
CAN1_HUMAN	Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1	CAPN1	CAPN1_CAN1	1	3	0	1	0	0	0	3	0	0	0	3
CAN2_HUMAN	Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6	CAPN2	CAPN2_CAN2	1	7	4	3	5	6	3	9	6	5	7	8
CAN5_HUMAN	Calpain-5 OS=Homo sapiens GN=CAPN5 PE=1 SV=2	CAPN5	CAPN5_CAN5	0	1	0	0	0	0	0	0	0	0	0	0
CPNS1_HUMAN	Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1	CAPNS1	CAPNS1_CPNS1	1	4	4	5	6	5	3	8	4	5	5	5
CAPR1_HUMAN	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2	CAPRIN1	CAPRIN1_CAPR1	0	0	0	0	0	0	1	0	0	0	0	0
CAYP1_HUMAN	Calcyphosin OS=Homo sapiens GN=CAPS PE=1 SV=1	CAPS	CAPS_CAYP1	10	5	8	3	6	4	9	6	8	9	6	2
CAZA1_HUMAN	F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3	CAPZA1	CAPZA1_CAZA1	3	6	2	4	1	2	2	4	2	4	1	3
CAZA2_HUMAN	F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3	CAPZA2	CAPZA2_CAZA2	0	2	0	0	0	0	0	0	0	0	0	0
CAPZB_HUMAN	F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4	CAPZB	CAPZB_CAPZB	0	3	0	3	0	2	0	2	1	2	0	1
SYCC_HUMAN	"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=CARS PE=1 SV=3"	CARS	CARS_SYCC	0	0	0	0	0	0	0	1	0	0	0	0
CASP3_HUMAN	Caspase-3 OS=Homo sapiens GN=CASP3 PE=1 SV=2	CASP3	CASP3_CASP3	0	0	0	0	0	0	0	1	0	0	0	0
ICAL_HUMAN	Calpastatin OS=Homo sapiens GN=CAST PE=1 SV=4	CAST	CAST_ICAL	0	1	0	0	1	0	0	1	1	1	0	0
CATA_HUMAN	Catalase OS=Homo sapiens GN=CAT PE=1 SV=3	CAT	CAT_CATA	2	4	3	0	3	2	2	3	1	3	0	2
CBR1_HUMAN	Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3	CBR1	CBR1_CBR1	3	5	4	3	3	3	1	4	1	3	2	2
CCDC6_HUMAN	Coiled-coil domain-containing protein 6 OS=Homo sapiens GN=CCDC6 PE=1 SV=2	CCDC6	CCDC6_CCDC6	0	0	1	0	0	0	0	0	0	0	0	0
TCPB_HUMAN	T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	CCT2	CCT2_TCPB	3	6	7	4	5	3	2	4	4	4	1	0
TCPG_HUMAN	T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4	CCT3	CCT3_TCPG	0	1	2	1	0	0	0	1	2	2	0	0
TCPD_HUMAN	T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4	CCT4	CCT4_TCPD	0	0	2	0	1	0	1	2	1	1	1	0
TCPE_HUMAN	T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1	CCT5	CCT5_TCPE	0	3	4	3	2	2	1	4	2	2	2	2
TCPZ_HUMAN	T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3	CCT6A	CCT6A_TCPZ	0	4	0	0	0	0	0	2	0	0	0	0
TCPW_HUMAN	T-complex protein 1 subunit zeta-2 OS=Homo sapiens GN=CCT6B PE=1 SV=5	CCT6B	CCT6B_TCPW	0	0	0	0	0	0	0	0	1	0	0	0
TCPH_HUMAN	T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2	CCT7	CCT7_TCPH	0	1	1	0	1	1	0	0	2	0	1	1
TCPQ_HUMAN	T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	CCT8	CCT8_TCPQ	3	5	4	4	3	1	5	5	4	4	1	1
CD44_HUMAN	CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3	CD44	CD44_CD44	0	0	0	1	0	0	0	0	0	0	0	0
CD47_HUMAN	Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47 PE=1 SV=1	CD47	CD47_CD47	0	0	0	0	0	0	0	0	1	0	0	0
CD59_HUMAN	CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1	CD59	CD59_CD59	0	0	0	0	1	0	0	0	1	0	0	0
CD63_HUMAN	CD63 antigen OS=Homo sapiens GN=CD63 PE=1 SV=2	CD63	CD63_CD63	1	1	0	1	0	2	1	1	1	2	2	2
HG2A_HUMAN	HLA class II histocompatibility antigen gamma chain OS=Homo sapiens GN=CD74 PE=1 SV=3	CD74	CD74_HG2A	0	0	1	1	0	0	0	0	0	1	0	0
CD82_HUMAN	CD82 antigen OS=Homo sapiens GN=CD82 PE=1 SV=1	CD82	CD82_CD82	0	1	0	0	0	0	0	0	0	0	0	0
CD9_HUMAN	CD9 antigen OS=Homo sapiens GN=CD9 PE=1 SV=4	CD9	CD9_CD9	1	2	0	1	1	2	1	2	0	1	0	1
CDC37_HUMAN	Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37 PE=1 SV=1	CDC37	CDC37_CDC37	0	2	0	0	1	0	0	0	0	1	0	0
CDC42_HUMAN	Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2	CDC42	CDC42_CDC42	1	4	3	5	4	2	3	4	4	4	3	4
CADH1_HUMAN	Cadherin-1 OS=Homo sapiens GN=CDH1 PE=1 SV=3	CDH1	CDH1_CADH1	0	0	0	1	0	0	0	0	0	0	0	0
CADH6_HUMAN	Cadherin-6 OS=Homo sapiens GN=CDH6 PE=1 SV=1	CDH6	CDH6_CADH6	0	0	0	2	0	1	0	0	0	0	0	0
CDK1_HUMAN	Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3	CDK1	CDK1_CDK1	0	0	1	0	0	0	0	0	0	0	0	0
CK5P3_HUMAN	CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens GN=CDK5RAP3 PE=1 SV=2	CDK5RAP3	CDK5RAP3_CK5P3	0	0	0	0	0	0	0	0	0	3	0	0
CDKL3_HUMAN	Cyclin-dependent kinase-like 3 OS=Homo sapiens GN=CDKL3 PE=1 SV=1	CDKL3	CDKL3_CDKL3	0	0	0	0	1	0	1	1	0	0	0	0
CEAM5_HUMAN	Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens GN=CEACAM5 PE=1 SV=3	CEACAM5	CEACAM5_CEAM5	0	3	0	5	1	5	1	6	1	4	1	4
EST1_HUMAN	Liver carboxylesterase 1 OS=Homo sapiens GN=CES1 PE=1 SV=2	CES1	CES1_EST1	0	0	0	3	0	0	0	0	0	0	0	0
EST2_HUMAN	Cocaine esterase OS=Homo sapiens GN=CES2 PE=1 SV=1	CES2	CES2_EST2	0	0	0	0	0	0	0	0	0	1	0	0
CETN2_HUMAN	Centrin-2 OS=Homo sapiens GN=CETN2 PE=1 SV=1	CETN2	CETN2_CETN2	0	0	1	0	1	0	0	0	0	0	0	0
CFAB_HUMAN	Complement factor B OS=Homo sapiens GN=CFB PE=1 SV=2	CFB	CFB_CFAB	6	9	4	10	9	8	5	11	9	7	4	7
CFAH_HUMAN	Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4	CFH	CFH_CFAH	0	0	0	0	0	0	0	1	1	0	0	0
COF1_HUMAN	Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3	CFL1	CFL1_COF1	3	6	5	5	6	4	4	5	2	4	3	5
CING_HUMAN	Cingulin OS=Homo sapiens GN=CGN PE=1 SV=2	CGN	CGN_CING	0	0	0	0	2	0	0	0	0	0	0	0
MIC19_HUMAN	MICOS complex subunit MIC19 OS=Homo sapiens GN=CHCHD3 PE=1 SV=1	CHCHD3	CHCHD3_MIC19	0	2	0	0	1	1	0	2	0	1	0	0
CHP1_HUMAN	Calcineurin B homologous protein 1 OS=Homo sapiens GN=CHP1 PE=1 SV=3	CHP1	CHP1_CHP1	0	0	0	0	0	0	0	0	0	1	0	0
CIB1_HUMAN	Calcium and integrin-binding protein 1 OS=Homo sapiens GN=CIB1 PE=1 SV=4	CIB1	CIB1_CIB1	3	3	1	0	3	2	2	2	4	1	2	1
CISD1_HUMAN	CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens GN=CISD1 PE=1 SV=1	CISD1	CISD1_CISD1	0	0	2	2	0	1	0	1	0	1	0	0
CKAP4_HUMAN	Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2	CKAP4	CKAP4_CKAP4	0	10	3	7	1	9	0	7	1	12	0	10
KCRB_HUMAN	Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1	CKB	CKB_KCRB	10	4	6	2	6	1	7	5	7	4	4	1
KCRU_HUMAN	"Creatine kinase U-type, mitochondrial OS=Homo sapiens GN=CKMT1A PE=1 SV=1"	CKMT1A	CKMT1A_KCRU	0	4	1	1	0	2	1	4	0	5	1	4
CLCA1_HUMAN	Calcium-activated chloride channel regulator 1 OS=Homo sapiens GN=CLCA1 PE=1 SV=3	CLCA1	CLCA1_CLCA1	0	2	0	2	0	16	0	12	0	16	0	21
CLIC1_HUMAN	Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4	CLIC1	CLIC1_CLIC1	7	6	7	7	6	6	6	4	6	5	6	6
CLIC3_HUMAN	Chloride intracellular channel protein 3 OS=Homo sapiens GN=CLIC3 PE=1 SV=2	CLIC3	CLIC3_CLIC3	0	1	0	0	0	0	0	0	0	0	0	0
CLIC4_HUMAN	Chloride intracellular channel protein 4 OS=Homo sapiens GN=CLIC4 PE=1 SV=4	CLIC4	CLIC4_CLIC4	0	1	1	0	2	0	0	1	2	3	0	1
CLIC6_HUMAN	Chloride intracellular channel protein 6 OS=Homo sapiens GN=CLIC6 PE=2 SV=3	CLIC6	CLIC6_CLIC6	1	0	5	2	5	2	5	2	6	4	4	0
EPN4_HUMAN	Clathrin interactor 1 OS=Homo sapiens GN=CLINT1 PE=1 SV=1	CLINT1	CLINT1_EPN4	0	0	0	0	1	0	0	0	0	1	0	1
CLPP_HUMAN	"ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Homo sapiens GN=CLPP PE=1 SV=1"	CLPP	CLPP_CLPP	0	1	0	0	0	0	0	0	0	0	0	0
CSTN1_HUMAN	Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1	CLSTN1	CLSTN1_CSTN1	0	0	0	2	0	0	0	2	0	0	0	0
CLCA_HUMAN	Clathrin light chain A OS=Homo sapiens GN=CLTA PE=1 SV=1	CLTA	CLTA_CLCA	0	1	0	0	1	1	1	2	1	1	0	0
CLCB_HUMAN	Clathrin light chain B OS=Homo sapiens GN=CLTB PE=1 SV=1	CLTB	CLTB_CLCB	0	2	0	0	0	0	0	1	1	2	0	3
CLH1_HUMAN	Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	CLTC	CLTC_CLH1	4	28	12	16	11	14	5	24	11	20	7	15
CLUS_HUMAN	Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1	CLU	CLU_CLUS	7	5	6	1	7	4	5	6	9	4	3	4
KCY_HUMAN	UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3	CMPK1	CMPK1_KCY	4	5	5	4	3	4	5	5	4	5	4	6
CNDP2_HUMAN	Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2	CNDP2	CNDP2_CNDP2	9	10	9	6	9	6	7	10	9	8	8	3
CNN2_HUMAN	Calponin-2 OS=Homo sapiens GN=CNN2 PE=1 SV=4	CNN2	CNN2_CNN2	0	0	1	0	0	0	1	0	0	0	0	0
CNPY2_HUMAN	Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1	CNPY2	CNPY2_CNPY2	0	0	0	0	0	1	0	0	0	2	1	2
COASY_HUMAN	Bifunctional coenzyme A synthase OS=Homo sapiens GN=COASY PE=1 SV=4	COASY	COASY_COASY	0	0	1	0	0	0	0	0	0	1	0	0
CO1A1_HUMAN	Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5	COL1A1	COL1A1_CO1A1	0	0	0	0	0	0	0	0	0	0	0	2
COMT_HUMAN	Catechol O-methyltransferase OS=Homo sapiens GN=COMT PE=1 SV=2	COMT	COMT_COMT	0	0	1	0	0	0	0	0	0	0	0	0
COPA_HUMAN	Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2	COPA	COPA_COPA	0	4	1	1	0	2	0	4	0	2	0	2
COPB_HUMAN	Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3	COPB1	COPB1_COPB	0	1	0	1	0	0	0	1	0	3	0	2
COPB2_HUMAN	Coatomer subunit beta OS=Homo sapiens GN=COPB2 PE=1	COPB2	COPB2_COPB2	0	1	0	1	0	1	0	2	0	1	0	0
COPE_HUMAN	Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3	COPE	COPE_COPE	0	2	1	0	0	0	0	0	0	2	0	1
COPZ1_HUMAN	Coatomer subunit zeta-1 OS=Homo sapiens GN=COPZ1 PE=1 SV=1	COPZ1	COPZ1_COPZ1	0	0	0	1	0	0	0	0	0	0	0	0
COR1B_HUMAN	Coronin-1B OS=Homo sapiens GN=CORO1B PE=1 SV=1	CORO1B	CORO1B_COR1B	0	4	0	0	0	3	0	2	0	2	0	2
COR1C_HUMAN	Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1	CORO1C	CORO1C_COR1C	0	0	0	0	0	1	0	0	0	0	0	0
COX41_HUMAN	"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1"	COX4I1	COX4I1_COX41	2	5	5	6	5	6	5	6	2	6	2	6
COX5A_HUMAN	"Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=2"	COX5A	COX5A_COX5A	0	3	1	2	3	3	2	2	1	1	1	4
COX5B_HUMAN	"Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2"	COX5B	COX5B_COX5B	2	1	2	1	2	2	2	2	2	2	2	2
COX6C_HUMAN	Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2	COX6C	COX6C_COX6C	0	2	1	1	0	1	0	1	1	2	1	1
CX7A2_HUMAN	"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1"	COX7A2	COX7A2_CX7A2	2	1	2	0	0	0	2	2	0	0	1	1
COX7C_HUMAN	"Cytochrome c oxidase subunit 7C, mitochondrial OS=Homo sapiens GN=COX7C PE=1 SV=1"	COX7C	COX7C_COX7C	0	1	0	0	0	0	0	0	0	1	0	0
CERU_HUMAN	Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1	CP	CP_CERU	6	3	12	0	16	1	13	3	16	1	10	0
CBPD_HUMAN	Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2	CPD	CPD_CBPD	0	0	0	0	0	0	0	0	0	2	0	0
CPNE1_HUMAN	Copine-1 OS=Homo sapiens GN=CPNE1 PE=1 SV=1	CPNE1	CPNE1_CPNE1	0	2	0	0	0	0	0	0	0	0	0	0
CPT1A_HUMAN	"Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens GN=CPT1A PE=1 SV=2"	CPT1A	CPT1A_CPT1A	0	1	0	2	0	1	0	0	0	0	0	1
CPT2_HUMAN	"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens GN=CPT2 PE=1 SV=2"	CPT2	CPT2_CPT2	1	1	2	1	1	1	0	2	1	2	1	1
RABP2_HUMAN	Cellular retinoic acid-binding protein 2 OS=Homo sapiens GN=CRABP2 PE=1 SV=2	CRABP2	CRABP2_RABP2	0	0	1	0	0	0	0	0	1	1	0	0
EFC4A_HUMAN	EF-hand calcium-binding domain-containing protein 4A OS=Homo sapiens GN=CRACR2B PE=1 SV=3	CRACR2B	CRACR2B_EFC4A	0	0	0	0	0	0	0	0	0	0	1	0
CACP_HUMAN	Carnitine O-acetyltransferase OS=Homo sapiens GN=CRAT PE=1 SV=5	CRAT	CRAT_CACP	0	0	0	0	0	1	0	1	0	0	0	0
CRIP1_HUMAN	Cysteine-rich protein 1 OS=Homo sapiens GN=CRIP1 PE=1 SV=3	CRIP1	CRIP1_CRIP1	0	0	0	0	1	0	0	0	0	0	0	0
CRCC2_HUMAN	Putative ciliary rootlet coiled-coil protein 2 OS=Homo sapiens GN=CROCC2 PE=5 SV=3	CROCC2	CROCC2_CRCC2	0	0	0	0	1	0	0	0	0	0	0	0
CRYM_HUMAN	Ketimine reductase mu-crystallin OS=Homo sapiens GN=CRYM PE=1 SV=1	CRYM	CRYM_CRYM	0	0	1	1	0	0	0	0	0	0	0	0
CISY_HUMAN	"Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2"	CS	CS_CISY	1	3	2	2	2	4	1	3	2	3	2	2
CSRP1_HUMAN	Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=1 SV=3	CSRP1	CSRP1_CSRP1	0	0	0	0	0	0	0	0	0	1	0	0
CYTN_HUMAN	Cystatin-SN OS=Homo sapiens GN=CST1 PE=1 SV=3	CST1	CST1_CYTN	1	1	0	2	0	3	0	3	0	3	0	3
CYTC_HUMAN	Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1	CST3	CST3_CYTC	1	3	2	3	2	4	2	4	2	4	1	4
